solution_id,seed,origin,feasible,f1,f2,f3
0,23,random,True,178.0,0.23809985543593815,36.0
1,23,random,True,178.0,0.23809985543593815,36.0
2,23,random,True,177.0,0.23811732985775302,36.0
3,23,random,True,177.0,0.23811732985775302,36.0
4,23,random,True,215.0,0.23540879447641747,38.0
5,23,random,True,215.0,0.23540879447641747,38.0
6,23,random,True,212.0,0.2357582829127188,38.0
7,23,random,True,212.0,0.2357582829127188,38.0
8,23,random,True,175.0,0.237802790265082,38.0
9,23,random,True,174.0,0.23958518129021886,38.0
10,23,random,True,171.0,0.23995214414833543,38.0
11,23,random,True,170.0,0.24037153027189712,38.0
12,23,random,True,170.0,0.24037153027189712,38.0
13,23,random,True,167.0,0.24418095422758193,38.0
14,23,random,True,166.0,0.2442683263366571,38.0
15,23,random,True,164.0,0.2541937979276159,38.0
16,23,random,True,164.0,0.2541937979276159,38.0
17,19,random,True,181.0,0.2325080404551165,39.0
18,19,random,True,180.0,0.23280510562597265,39.0
19,19,random,True,180.0,0.23280510562597265,39.0
20,19,random,True,180.0,0.23280510562597265,39.0
21,19,random,True,179.0,0.2331021707968288,39.0
22,19,random,True,179.0,0.2331021707968288,39.0
23,19,random,True,179.0,0.2331021707968288,39.0
24,19,random,True,178.0,0.23332933828042463,39.0
25,19,random,True,178.0,0.23332933828042463,39.0
26,19,random,True,176.0,0.23395841746576723,39.0
27,19,random,True,176.0,0.23395841746576723,39.0
28,19,random,True,176.0,0.23395841746576723,39.0
29,19,random,True,175.0,0.2342380082148083,39.0
30,19,random,True,175.0,0.2342380082148083,39.0
31,19,random,True,175.0,0.2342380082148083,39.0
32,19,random,True,173.0,0.23460497107292452,39.0
33,19,random,True,173.0,0.23460497107292452,39.0
34,19,random,True,166.0,0.23477971529107522,39.0
35,19,random,True,166.0,0.23477971529107522,39.0
36,19,random,True,165.0,0.23570585964727375,39.0
37,19,random,True,165.0,0.23570585964727375,39.0
38,19,random,True,164.0,0.2358806038654245,39.0
39,19,random,True,161.0,0.2359505015526848,39.0
40,19,random,True,161.0,0.2359505015526848,39.0
41,19,random,True,160.0,0.23684169706525326,39.0
42,19,random,True,160.0,0.23684169706525326,39.0
43,19,random,True,157.0,0.2368941203306985,39.0
44,19,random,True,157.0,0.2368941203306985,39.0
45,19,random,True,153.0,0.23871146019946562,39.0
46,19,random,True,153.0,0.23871146019946562,39.0
47,19,random,True,152.0,0.23876388346491081,39.0
48,19,random,True,151.0,0.24042395353734228,39.0
49,19,random,True,151.0,0.24042395353734228,39.0
50,19,random,True,150.0,0.24189180496980808,39.0
51,19,random,True,150.0,0.24189180496980808,39.0
52,19,random,True,181.0,0.23250804045511636,41.0
53,19,random,True,180.0,0.23268278467326697,41.0
54,19,random,True,175.0,0.23306722195319865,41.0
55,19,random,True,175.0,0.23306722195319865,41.0
56,19,random,True,174.0,0.23310217079682852,41.0
57,19,random,True,174.0,0.23310217079682852,41.0
58,19,random,True,169.0,0.23423800821480803,41.0
59,19,random,True,169.0,0.23423800821480803,41.0
60,19,random,True,166.0,0.23457002222929435,41.0
61,19,random,True,166.0,0.23457002222929435,41.0
62,19,random,True,165.0,0.23469234318199977,41.0
63,37,random,True,162.0,0.2354612177418628,41.0
64,37,random,True,159.0,0.2359854503963149,41.0
65,37,random,True,155.0,0.237016441283404,41.0
66,37,random,True,154.0,0.23724360876699982,41.0
67,37,random,True,154.0,0.23724360876699982,41.0
68,37,random,True,152.0,0.23747077625059565,41.0
69,37,random,True,152.0,0.23747077625059565,41.0
70,37,random,True,152.0,0.23747077625059565,41.0
71,37,random,True,144.0,0.23796006006141746,41.0
72,37,random,True,144.0,0.23796006006141746,41.0
73,37,random,True,143.0,0.23844934387223948,41.0
74,37,random,True,143.0,0.23844934387223948,41.0
75,37,random,True,142.0,0.23869398577765033,41.0
76,37,random,True,142.0,0.23869398577765033,41.0
77,37,random,True,142.0,0.23869398577765033,41.0
78,37,random,True,139.0,0.24377904252583524,41.0
79,37,random,True,130.0,0.24475761014747907,41.0
80,37,random,True,129.0,0.24557890797278742,41.0
81,37,random,True,129.0,0.24557890797278742,41.0
82,37,random,True,128.0,0.24900389464854075,41.0
83,37,random,True,128.0,0.24900389464854075,41.0
84,37,random,True,128.0,0.2486019829467942,42.0
85,37,random,True,128.0,0.2486019829467942,42.0
86,19,random,True,179.0,0.2325080404551163,43.0
87,19,random,True,179.0,0.2325080404551163,43.0
88,19,random,True,174.0,0.2325604637205615,43.0
89,19,random,True,174.0,0.2325604637205615,43.0
90,19,random,True,168.0,0.23376619882580135,43.0
91,19,random,True,168.0,0.23376619882580135,43.0
92,37,random,True,158.0,0.23441275243295867,43.0
93,37,random,True,153.0,0.23516415257100673,43.0
94,37,random,True,153.0,0.23516415257100673,43.0
95,37,random,True,150.0,0.2356010131163835,43.0
96,37,random,True,150.0,0.2356010131163835,43.0
97,37,random,True,143.0,0.23593302713086964,43.0
98,37,random,True,140.0,0.2364747342071368,43.0
99,37,random,True,140.0,0.2364747342071368,43.0
100,37,random,True,138.0,0.23937548822843807,43.0
101,37,random,True,137.0,0.2398647720392599,43.0
102,37,random,True,137.0,0.2398647720392599,43.0
103,37,random,True,136.0,0.24131514904991044,43.0
104,37,random,True,134.0,0.2435693494640543,43.0
105,37,random,True,133.0,0.2441634798057666,43.0
106,37,random,True,133.0,0.2441634798057666,43.0
107,37,random,True,128.0,0.24776321069967094,43.0
108,37,random,True,128.0,0.24776321069967094,43.0
109,37,random,True,126.0,0.24888157369583533,43.0
110,37,random,True,126.0,0.24888157369583533,43.0
111,37,random,True,161.0,0.23413316168391757,44.0
112,37,random,True,136.0,0.24002204183559536,44.0
113,37,random,True,134.0,0.2421189724534036,44.0
114,37,random,True,125.0,0.25111829968816407,44.0
115,19,random,True,172.0,0.2326303614078217,45.0
116,37,random,True,168.0,0.23360892902946562,45.0
117,37,random,True,168.0,0.23360892902946562,45.0
118,37,random,True,157.0,0.23416811052754782,45.0
119,37,random,True,135.0,0.23913084632302697,45.0
120,37,random,True,135.0,0.23913084632302697,45.0
121,37,random,True,134.0,0.24159473979895166,45.0
122,37,random,True,133.0,0.24183938170436253,45.0
123,37,random,True,131.0,0.2426432051078557,45.0
124,37,random,True,131.0,0.2426432051078557,45.0
125,37,random,True,176.0,0.23097029133539024,46.0
126,37,random,True,176.0,0.23097029133539024,46.0
127,37,random,True,175.0,0.23212360317518485,46.0
128,37,random,True,171.0,0.23224592412789025,46.0
129,37,random,True,170.0,0.232420668346041,46.0
130,37,random,True,170.0,0.232420668346041,46.0
131,37,random,True,169.0,0.23317206848408886,46.0
132,37,random,True,169.0,0.23317206848408886,46.0
133,37,random,True,162.0,0.23317206848408895,46.0
134,37,random,True,161.0,0.23336428712405466,46.0
135,37,random,True,157.0,0.2341681105275478,46.0
136,37,random,True,147.0,0.23469234318199983,46.0
137,37,random,True,146.0,0.23491951066559572,46.0
138,37,random,True,146.0,0.23491951066559572,46.0
139,37,random,True,139.0,0.23512920372737656,46.0
140,37,random,True,139.0,0.23512920372737656,46.0
141,37,random,True,175.0,0.23177411473888343,48.0
142,37,random,True,166.0,0.2322459241278902,48.0
143,37,random,True,166.0,0.2322459241278902,48.0
144,37,random,True,165.0,0.23226339854970526,48.0
145,37,random,True,165.0,0.23226339854970526,48.0
146,37,random,True,163.0,0.23282258004778753,48.0
147,37,random,True,163.0,0.23282258004778753,48.0
148,37,random,True,155.0,0.23453507338566426,48.0
149,37,random,True,134.0,0.23970750224292434,48.0
150,37,random,True,134.0,0.23970750224292434,48.0
151,37,random,True,125.0,0.2504717460810065,48.0
152,37,random,True,138.0,0.23776784142145166,49.0
153,37,random,True,138.0,0.23776784142145166,49.0
154,37,random,True,134.0,0.23813480427956812,49.0
155,37,random,True,168.0,0.2310052401790205,50.0
156,37,random,True,159.0,0.23301479868775335,50.0
157,37,random,True,158.0,0.23376619882580119,50.0
158,37,random,True,155.0,0.2342904314802533,50.0
159,37,random,True,171.0,0.23074312385179446,52.0
160,37,random,True,171.0,0.23074312385179446,52.0
161,37,random,True,167.0,0.23145957514621224,52.0
162,37,random,True,167.0,0.23145957514621224,52.0
163,37,random,True,156.0,0.23425548263662316,52.0
164,37,random,True,156.0,0.23425548263662316,52.0
165,19,random,True,209.0,0.2307081750081643,92.0
166,19,random,True,209.0,0.2307081750081643,92.0
167,19,random,True,209.0,0.23009657024463687,94.0
168,19,random,True,209.0,0.23009657024463687,94.0
